"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"AE1";"Antenna";1;"Antenna_Loop";;;
2;"C1";"CP_Elec_6.3x5.7";1;"100uF";;;
3;"C2,C4,C5";"C_0805";3;"100nF";;;
4;"C3";"C_0805";1;"10nF";;;
5;"C6";"C_0805";1;"1uF";;;
6;"C7,C8";"C_0805";2;"4.7uF";;;
7;"D1";"LED_RGB_5050-6";1;"LED1";;;
8;"D2";"LED_RGB_5050-6";1;"LED2";;;
9;"J1";"BoldPort_Pin_Header_Straight_1x07_Pitch2.54mm";1;"Conn_01x07_Female";;;
10;"J2";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"SWD";;;
11;"J3";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"BOOT0";;;
12;"J4";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"nRST";;;
13;"J5";"Pin_Header_Straight_2x05_Pitch2.54mm";1;"LSAO";;;
14;"J6";"USB_Micro-B_Molex-105017-0001";1;"USB_MICRO";;;
15;"R1";"R_0805";1;"10k";;;
16;"R2,R3";"R_0805";2;"22";;;
17;"SW1,SW2";"TactSwitch";2;"SW_DPST_OZSECCON";;;
18;"U1";"ICC_FOOTPRINT";1;"ICC_Pads";;;
19;"U2";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"TC4424A";;;
20;"U3";"OzSecCon_LQFP-48_7x7mm_Pitch0.5mm";1;"STM32F042C6T6";;;
21;"BT1";"Keystone_3034_1x20mm-CoinCell";1;"Battery_Cell";;;
22;"FID1,FID2,FID3";"Fiducial_0.5mm_Dia_1mm_Outer";3;"Fiducial";;;
23;"";"skully";1;"";;;
24;"";"Privasec";1;"";;;
25;"REF**";"Board_Outline";1;"Board_Outline";;;
